Table,Column Name,Data Type,Field Size,Null,Keys,Description,Example(s)
Inmate_Details,Inmate_ID,integer,,Not Null,primary key,Unique Person ID. ,"1
5
23590"
Inmate_Details,Correctional_Facility_ID,integer,,Not Null,foreign key,Unique identifying code representing the name of a correctional facility or institution.,"1
2
3
56"
Inmate_Details,Gender,text,1,Not Null,,Gender (M=Male/F=Female). ,"M
F"
Inmate_Details,Race,text,,Not Null,,Race (Black or White). ,"BLACK
WHITE"
Inmate_Details,Age_at_Release,text,,Not Null,,"Age Group at Time of Prison Release (18-22, 23-27, 28-32, 33-37, 38-42, 43-47, 48+). ","18-22
23-27
28-32
33-37
38-42
42 or older"
Inmate_Details,Residence_PUMA,integer,,Not Null,foreign key,Residence US Census Bureau PUMA Group* at Prison Release. Residence at Prison Release by US Census Bureau Public Use Microdata Area (PUMA),"1
2
3
25"
Inmate_Details,Gang_Affiliated,boolean,,Null,,Verified by Investigation as Gang Affiliated. ,"TRUE
FALSE"
Inmate_Details,Supervision_Risk_Score_First,integer,,Null,,"First Parole Supervision Risk Assessment Score (1-10, where 1=lowest risk). ","1
2
3
10"
Inmate_Details,Supervision_Level_First,text,,Null,,"First Parole Supervision Level Assignment (Standard, High, Specialized). ","High
Specialized
Standard"
Inmate_Details,Education_Level,text,,Not Null,,"Education Grade Level at Prison Entry (<high school, High School diploma, at least some college). 
Captured at prison admission with the exception of prison days, which is calculated as (prison release date - prison admit date).","At least some college
High School Diploma
Less than HS diploma"
Inmate_Details,Dependents,text,,Not Null,,"# Dependents at Prison Entry (0, 1, 2, 3+). 
Captured at prison admission with the exception of prison days, which is calculated as (prison release date - prison admit date).","0
1
2
3 or more"
Inmate_Details,Prison_Offense,text,,Null,,"Primary Prison Conviction Offense Group (Violent/Sex, Violent/Non-Sex, Property, Drug, Other). 
Captured at prison admission with the exception of prison days, which is calculated as (prison release date - prison admit date).","Drug
Violent/Non-Sex
Violent/Sex
Property
Other"
Inmate_Details,Prison_Years,text,,Not Null,,"Years in Prison Prior to Parole Release (<1, 1-2, 2-3, 3+). 
Captured at prison admission with the exception of prison days, which is calculated as (prison release date - prison admit date).","Less than 1 year
1-2 years
Greater than 2 to 3 years
More than 3 years"
Inmate_Details,Prior_Arrest_Episodes_Felony,text,,Not Null,,"# Prior GCIC Arrests with Most Serious Charge=Felony. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3
10 or more"
Inmate_Details,Prior_Arrest_Episodes_Misd,text,,Not Null,,"# Prior GCIC Arrests with Most Serious Charge=Misdemeanor. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3
6 or more"
Inmate_Details,Prior_Arrest_Episodes_Violent,text,,Not Null,,"# Prior GCIC Arrests with Most Serious Charge=Violent. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3 or more"
Inmate_Details,Prior_Arrest_Episodes_Property,text,,Not Null,,"# Prior GCIC Arrests with Most Serious Charge=Property. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3
5 or more"
Inmate_Details,Prior_Arrest_Episodes_Drug,text,,Not Null,,"# Prior GCIC Arrests with Most Serious Charge=Drug. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3
5 or more"
Inmate_Details,Prior_Arrest_Episodes_PPViolationCharges,text,,Not Null,,"# Prior GCIC Arrests with Probation/Parole Violation Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3
5 or more"
Inmate_Details,Prior_Arrest_Episodes_DVCharges,boolean,,Not Null,,"Any Prior GCIC Arrests with Domestic Violence Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Arrest_Episodes_GunCharges,boolean,,Not Null,,"Any Prior GCIC Arrests with Gun Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Conviction_Episodes_Felony,text,,Not Null,,"# Prior GCIC Felony Convictions with Most Serious Charge=Felony. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3 or more"
Inmate_Details,Prior_Conviction_Episodes_Misd,text,,Not Null,,"# Prior GCIC Convictions with Most Serious Charge=Misdemeanor. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3 
4 or more"
Inmate_Details,Prior_Conviction_Episodes_Viol,boolean,,Not Null,,"Any Prior GCIC Convictions with Most Serious Charge=Violent. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Conviction_Episodes_Prop,text,,Not Null,,"# Prior GCIC Convictions with Most Serious Charge=Property. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2
3 or more"
Inmate_Details,Prior_Conviction_Episodes_Drug,text,,Not Null,,"# Prior GCIC Convictions with Most Serious Charge=Drug. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","0
1
2 or more"
Inmate_Details,Prior_Conviction_Episodes_PPViolationCharges,boolean,,Not Null,,"Any Prior GCIC Convictions with Probation/Parole Violation Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Conviction_Episodes_DomesticViolenceCharges,boolean,,Not Null,,"Any Prior GCIC Convictions with Domestic Violence Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Conviction_Episodes_GunCharges,boolean,,Not Null,,"Any Prior GCIC Convictions with Gun Charges. 
Georgia Crime Information Center (GCIC) fingerprintable arrest and conviction history prior to prison entry. Arrest and conviction episodes may contain multiple charges.","TRUE
FALSE"
Inmate_Details,Prior_Revocations_Parole,boolean,,Not Null,,Any Prior Parole Revocations. Georgia community supervision revocations prior to prison entry. A revocation is an unsuccessful termination of supervision. A parole revocation reflects a return to prison to serve the remaining sentence.,"TRUE
FALSE"
Inmate_Details,Prior_Revocations_Probation,boolean,,Not Null,,"	Any Prior Probation Revocations. Georgia community supervision revocations prior to prison entry. A revocation is an unsuccessful termination of supervision. A parole revocation reflects a return to prison to serve the remaining sentence.","TRUE
FALSE"
Inmate_Details,Condition_MH_SA,boolean,,Not Null,,Parole Release Condition = Mental Health or Substance Abuse Programming. Discretionary parole release requires people to abide by conditions set by the Board; those affecting programming or notification are included here.,"TRUE
FALSE"
Inmate_Details,Condition_Cog_Ed,boolean,,Not Null,,Parole Release Condition = Cognitive Skills or Education Programming. Discretionary parole release requires people to abide by conditions set by the Board; those affecting programming or notification are included here.,"TRUE
FALSE"
Inmate_Details,Condition_Other,boolean,,Not Null,,Parole Release Condition = No Victim Contact or Electronic Monitoring or Restitution or Sex Offender Registration/Program. Discretionary parole release requires people to abide by conditions set by the Board; those affecting programming or notification are included here.,"TRUE
FALSE"
Inmate_Details,Violations_ElectronicMonitoring,boolean,,Not Null,,"	Any Violation for Electronic Monitoring. Includes violations, drug tests, delinquency reports for violating conditions, program attendances, residence changes, and employment during the parole supervision episode.","TRUE
FALSE"
Inmate_Details,Violations_Instruction,boolean,,Not Null,,"	Any Violation for Not Following Instructions. ","TRUE
FALSE"
