EBRR_Program_Cohort_ID,Correctional_Facility_ID,EBRR_Programs_ID,Program_Cohort_Size_Max,Program_Cohort_Size_Min,Number_of_Cohorts,Program_Cohort_Num_Enrolled_Avg,Program_Cohort_Num_Attended_Avg,Program_Cohort_Num_Completed_Avg,Program_Cohort_Percent_Completion_Avg,Program_Cohort_Attendance_Rate_Avg,Program_Cohort_Hours_Avg,Num_Employee_Hours_Per_Cohort_Avg,Cost_Supply_Max_Per_Cohort _USD
1,1,1,30,5,30,23,1,0,0,0.043478261,60,210,500
2,1,2,30,5,13,9,1,0,0,0.111111111,150,525,500
3,1,3,30,5,24,22,4,2,0.5,0.181818182,60,210,500
4,1,4,30,5,32,22,13,9,0.69,0.590909091,240,840,500
5,1,5,30,5,24,7,5,4,0.8,0.714285714,60,210,500
6,1,6,30,5,23,20,18,14,0.78,0.9,60,210,500
7,1,7,30,5,46,28,7,6,0.86,0.25,270,945,500
8,1,8,30,5,37,29,14,8,0.57,0.482758621,150,525,500
9,1,9,30,5,34,15,0,0,0,0,210,735,500
10,1,10,30,5,18,27,27,5,0.19,1,270,945,500
11,2,11,30,5,34,10,10,6,0.6,1,300,1050,500
12,2,12,30,5,35,7,3,0,0,0.428571429,120,420,500
13,2,13,30,5,7,14,3,2,0.67,0.214285714,210,735,500
14,2,14,30,5,22,26,20,5,0.25,0.769230769,300,1050,500
15,2,15,30,5,9,15,14,12,0.86,0.933333333,300,1050,500
16,2,16,30,5,43,15,4,1,0.25,0.266666667,270,945,500
17,2,17,30,5,18,18,12,5,0.42,0.666666667,240,840,500
18,2,18,30,5,39,10,10,1,0.1,1,180,630,500
19,2,19,30,5,40,24,1,1,1,0.041666667,100,350,500
20,2,20,30,5,14,17,3,2,0.67,0.176470588,150,525,500
21,2,21,30,5,31,18,3,2,0.67,0.166666667,240,840,500
22,2,22,30,5,47,21,12,2,0.17,0.571428571,60,210,500
23,2,23,30,5,42,29,12,7,0.58,0.413793103,300,1050,500
24,2,24,30,5,40,14,5,4,0.8,0.357142857,150,525,500
25,3,25,30,5,12,11,9,8,0.89,0.818181818,150,525,500
26,4,26,30,5,38,10,4,4,1,0.4,100,350,500
27,5,27,30,5,37,21,21,17,0.81,1,240,840,500
28,6,28,30,5,24,26,0,0,0,0,300,1050,500
29,6,29,30,5,32,23,4,1,0.25,0.173913043,60,210,500
30,6,30,30,5,19,27,11,1,0.09,0.407407407,100,350,500
31,6,31,30,5,34,30,4,4,1,0.133333333,270,945,500
32,6,32,30,5,43,20,3,1,0.33,0.15,150,525,500
33,6,33,30,5,5,20,4,1,0.25,0.2,210,735,500
34,6,34,30,5,26,6,4,1,0.25,0.666666667,300,1050,500
35,6,35,30,5,9,14,8,5,0.63,0.571428571,180,630,500
36,6,36,30,5,30,8,1,1,1,0.125,180,630,500
37,6,37,30,5,34,19,12,9,0.75,0.631578947,300,1050,500
38,6,38,30,5,48,19,11,9,0.82,0.578947368,100,350,500
39,6,39,30,5,28,6,6,5,0.83,1,270,945,500
40,6,40,30,5,50,25,0,0,0,0,150,525,500
41,6,41,30,5,20,15,4,0,0,0.266666667,270,945,500
42,6,42,30,5,19,27,10,4,0.4,0.37037037,180,630,500
43,7,43,30,5,33,6,5,3,0.6,0.833333333,150,525,500
44,7,44,30,5,44,5,5,0,0,1,300,1050,500
45,7,45,30,5,48,30,8,2,0.25,0.266666667,100,350,500
46,7,46,30,5,40,6,0,0,0,0,150,525,500
47,7,47,30,5,12,5,0,0,0,0,180,630,500
48,7,48,30,5,22,26,21,2,0.1,0.807692308,60,210,500
49,7,49,30,5,43,15,7,6,0.86,0.466666667,180,630,500
50,7,50,30,5,38,7,2,1,0.5,0.285714286,150,525,500
51,7,51,30,5,39,14,9,7,0.78,0.642857143,150,525,500
52,7,52,30,5,21,12,11,0,0,0.916666667,120,420,500
53,7,53,30,5,23,18,8,3,0.38,0.444444444,150,525,500
54,7,54,30,5,19,7,7,6,0.86,1,240,840,500
55,7,55,30,5,35,14,6,0,0,0.428571429,270,945,500
56,7,56,30,5,37,10,10,0,0,1,60,210,500
57,7,57,30,5,14,15,2,1,0.5,0.133333333,60,210,500
58,8,58,30,5,18,26,10,5,0.5,0.384615385,120,420,500
59,8,59,30,5,18,29,5,5,1,0.172413793,100,350,500
60,8,60,30,5,13,13,6,2,0.33,0.461538462,300,1050,500
61,8,61,30,5,26,9,6,0,0,0.666666667,270,945,500
62,8,62,30,5,42,7,7,7,1,1,270,945,500
63,8,63,30,5,7,26,24,16,0.67,0.923076923,60,210,500
64,8,64,30,5,45,21,5,2,0.4,0.238095238,240,840,500
65,8,65,30,5,23,16,3,2,0.67,0.1875,210,735,500
66,8,66,30,5,41,22,22,13,0.59,1,120,420,500
67,9,67,30,5,31,10,0,0,0,0,210,735,500
