Release_PUMA_ID_Code,PUMAs_included
1,"01003, 04400"
2,"01008, 04300"
3,"01200, 01300"
4,"01400, 01500, 01600"
5,"01700, 01800"
6,"02001, 02002, 02003, 04005"
7,"00100, 00200, 00500"
8,"04000, 04100, 04200"
9,"05001, 06001, 06002"
10,"02400, 05002"
11,"01001, 03004, 04600"
12,"01002, 01005, 03300, 03400, 04001, 04002, 04006"
13,"03101, 03102"
14,"01900, 03900, 04003, 04004"
15,"03001, 03002, 03003, 03005"
16,"02500, 04500"
17,"02800, 02900, 03200, 03500"
18,"0600, 0700, 0800"
19,"0900, 01100"
20,"0300, 0401, 0402"
21,"01004, 02100"
22,"02200, 02300"
23,"01006, 01007, 02004"
24,"02600, 02700"
25,"03600, 03700, 03800"
